display_name,config_type,differentiable,run_id,model_scale,parameter_count,scale_value,scale_unit,model_weight_bytes,training_seconds,selection_seconds,inference_seconds,evaluation_seconds,total_seconds,gpu_hours,training_throughput,evaluation_throughput,peak_gpu_mib,peak_rss_mib,checkpoint_bytes,interruption_count,recovery_count,recomputed_units,time_scope,evidence_level,source_path,pending_reason,missing_reasons,pareto_status,dominated_by,dominates,pareto_missing_reasons
随机森林,论文约束独立复现,false,ch3-baselines-full,"100 棵树 / 386,702 节点",,100,tree,,594.212467193604,,,,,,,,,,,,,,固定树配置训练墙钟；未拆分目标年纯推理与指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-baselines-full/trees_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""parameter_count"":""树集成不适用神经网络可训练参数量，规模见模型规模列"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
XGBoost,已发表配置重跑,false,ch3-baselines-full,800 棵树 / 深度 8,,800,tree,,230.916480541229,,,,,,,,,,,,,,固定树配置训练墙钟；未拆分目标年纯推理与指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-baselines-full/trees_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""parameter_count"":""树集成不适用神经网络可训练参数量，规模见模型规模列"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
一维卷积网络（主干重建）,论文约束独立复现,true,ch3-baselines-full,"34,529 参数",34529,34529,parameter,,133.136321544647,,,,,,,,7507.47900390625,,,,,,训练墙钟；未拆分目标年纯推理与指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-baselines-full/neural_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
门控循环网络,已发表配置重跑,true,ch3-baselines-full,"5,355,649 参数",5355649,5355649,parameter,,1087.61944723129,,,,,,,,7507.47900390625,,,,,,训练墙钟；未拆分目标年纯推理与指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-baselines-full/neural_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
全注意力网络,已发表配置重跑,true,ch3-baselines-full,"10,729,345 参数",10729345,10729345,parameter,,660.247807025909,,,,,,,,7507.47900390625,,,,,,训练墙钟；未拆分目标年纯推理与指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-baselines-full/neural_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
多层感知机＋CPA-ELP,本章方法,true,ch3-2x2-fairsel,"90,242个可训练参数",90242,90242,parameter,,145.871632814407,,,0.415539503097534,,,,,,,,,,,单格训练墙钟；评价时间含预测与指标计算，不等同纯推理,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-2x2-fairsel/ch3_2x2_fairsel_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""total_seconds"":""原始来源未持久化端到端总墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
XGBoost＋CPA-ELP,本章机制外挂树集成,false,ch3-xgb-cpa-elp-gpu-oof-seed42-v1-rerun1-eval-continuation2,800棵提升树,,800,tree,,,,,,269.883086204529,,,,,,,,,,源年拟合与目标年评价总墙钟；未拆分训练、纯推理和指标计算,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-xgb-cpa-elp-gpu-oof-seed42-v1-rerun1-eval-continuation2/xgb_cpa_elp_results.json,,"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""parameter_count"":""树集成不适用神经网络可训练参数量，规模见模型规模列"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_seconds"":""原始来源未拆分训练墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""checkpoint_bytes"":""原始来源未持久化检查点字节数"",""evaluation_seconds"":""原始来源未拆分目标年评价墙钟"",""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""gpu_hours"":""原始来源未持久化GPU小时"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""peak_gpu_mib"":""原始来源未持久化峰值显存"",""peak_rss_mib"":""原始来源未持久化峰值进程RSS"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_seconds"":""原始来源未拆分训练墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
ResMLP2＋CPA-ELP,骨干升级候选,true,ch3-resmlp2-cpa-elp-protocol-a-2x2-seed42-v1,"89,796个可训练参数",89796,89796,parameter,,600.550164937973,,,6.75297737121582,658.859507799149,0.168695317308108,,,7785.40771484375,15397.45703125,1458096,,,,四格训练与评价墙钟之和；评价时间含预测与指标计算，不等同纯推理,单次运行直接可比,/Users/bilibili/personal/note/.worktrees/ch4-dtep-pbc-20260819/thesis/experiments/llm_probe/runs/diagnostics/ch3-resmlp2-cpa-elp-protocol-a-2x2-seed42-v1/aggregate-results.json,,"{""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
TabM4＋CPA-ELP,骨干升级候选,true,ch3-tabm4-cpa-elp-protocol-a-2x2-seed42-v1,"90,175个可训练参数",90175,90175,parameter,,639.82001209259,,,13.089727640152,705.954060316086,0.181363816592428,,,13646.4067382812,15637.73046875,1462344,,,,四格训练与评价墙钟之和；评价时间含预测与指标计算，不等同纯推理,单次运行直接可比,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-tabm4-cpa-elp-protocol-a-2x2-seed42-v1/aggregate-results.json,,"{""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}",证据不完整,[],[],"{""evaluation_throughput"":""原始来源未持久化评价样本吞吐"",""inference_seconds"":""所有现有来源均未单独持久化纯模型推理墙钟"",""interruption_count"":""原始来源未持久化中断次数"",""model_weight_bytes"":""原始来源未持久化模型权重字节数"",""recomputed_units"":""原始来源未持久化重复计算量"",""recovery_count"":""原始来源未持久化恢复次数"",""selection_seconds"":""原始来源未拆分选模墙钟"",""training_throughput"":""原始来源未持久化有效训练样本吞吐""}"
RWKV-7固定R2与封印容量＋CPA-ELP,骨干升级候选,true,ch3-rwkv7-field-aware-protocol-a-2x2-seed42-v1-bf16-v1,,,,,,,,,,,,,,,,,,,,,运行中待回收,/Users/bilibili/personal/note/thesis/experiments/llm_probe/runs/diagnostics/ch3-rwkv7-field-aware-protocol-a-2x2-seed42-v1-bf16-v1/aggregate-results.json,统一BF16运行尚无本地聚合结果；不得从旧停止运行推导,"{""checkpoint_bytes"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""evaluation_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""evaluation_throughput"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""gpu_hours"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""inference_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""interruption_count"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""model_scale"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""model_weight_bytes"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""parameter_count"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""peak_gpu_mib"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""peak_rss_mib"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""recomputed_units"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""recovery_count"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""scale_unit"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""scale_value"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""selection_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""time_scope"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""total_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""training_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""training_throughput"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导""}",证据不完整,[],[],"{""checkpoint_bytes"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""evaluation_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""evaluation_throughput"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""gpu_hours"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""inference_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""interruption_count"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""model_weight_bytes"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""peak_gpu_mib"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""peak_rss_mib"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""recomputed_units"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""recovery_count"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""scale_unit"":""缺少可比较池或规模单位"",""scale_value"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""selection_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""total_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""training_seconds"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导"",""training_throughput"":""统一BF16运行尚无本地聚合结果；不得从旧停止运行推导""}"
