name	description	source	directory_key	path	sha256	bytes	active_index	user_config_enabled	project_config_enabled
agent-identifier	Use when creating or configuring Codex agents and their frontmatter.	user_agents	agent-identifier	/Users/bilibili/.agents/skills/agent-identifier/SKILL.md	e4b95d1aa05ed0edf1ddd126ced10998a914b98e8c2931ce788938552fa51a56	10600	True		
architecture-design	Use only when creating new registrable ML components that require Factory or Registry patterns.	user_agents	architecture-design	/Users/bilibili/.agents/skills/architecture-design/SKILL.md	28c61385e6d01fde395213b0edcf5a734235f05ec812e95c20e6b930a4d45bf7	9177	True		
bug-detective	"This skill should be used when the user asks to ""debug this"", ""fix this error"", ""investigate this bug"", ""troubleshoot this issue"", ""find the problem"", ""something is broken"", ""this isn't working"", ""why is this failing"", or reports errors/exceptions/bugs. Provides systematic debugging workflow and common error patterns."	user_agents	bug-detective	/Users/bilibili/.agents/skills/bug-detective/SKILL.md	ab228dd490b6eb8a30582dd4ea472816854fe77c704e4d8487371c266070a0f1	8550	True		
citation-verification	"This skill provides reference guidance for citation verification in academic writing. Use when the user asks about ""citation verification best practices"", ""how to verify references"", ""preventing fake citations"", or needs guidance on citation accuracy. This skill supports ml-paper-writing by providing detailed verification principles and common error patterns."	user_agents	citation-verification	/Users/bilibili/.agents/skills/citation-verification/SKILL.md	c98a1be776ee4301425e01e4ed46488aba293487c8b572de8963cadf805f929a	7593	True		
code-review-excellence	This skill should be used when the user asks to review a diff or pull request, write review comments, audit code quality, establish review standards, or improve how a team performs code review.	user_agents	code-review-excellence	/Users/bilibili/.agents/skills/code-review-excellence/SKILL.md	a8e048bd3b8c453c3e60259455e01bbffceaf0f7d7907ad5a22996f9a4b13e50	13677	False	False	
command-development	"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Codex."	user_agents	command-development	/Users/bilibili/.agents/skills/command-development/SKILL.md	d4aaed4ae74fc6b53aeb9d9950a075b47d1cf2fa704ef846efb6407ebe2fc818	18946	True		
daily-coding	Use for everyday coding tasks that involve writing or modifying source code.	user_agents	daily-coding	/Users/bilibili/.agents/skills/daily-coding/SKILL.md	dc9f72ac0b0498096a432356524eda480dbe13d6a0cb5862b76c24379755e4ab	2123	True		
daily-paper-generator	Use when the user asks to generate daily paper digests on a general topic. This skill supports both arXiv and bioRxiv (or either one), then produces structured Chinese/English summaries for selected papers.	user_agents	daily-paper-generator	/Users/bilibili/.agents/skills/daily-paper-generator/SKILL.md	5a3bd2fbebd2e3bd7825e07cf4c36b07008333fb2b232f968be108f2afa54cbd	4137	True		
defuddle	Extract clean Markdown from web pages. In the KB workflow, use it as a utility under obsidian-source-ingestion.	user_agents	defuddle	/Users/bilibili/.agents/skills/defuddle/SKILL.md	af404ced90addb8f11b88afd9c7370d80e14db3ed34f5b3890a5b863e7ab17f2	330	True		
doc-coauthoring	This skill should be used when the user asks to co-author documentation, draft a proposal, write a technical spec, create a decision doc or RFC, or structure a substantial document through iterative collaboration and reader testing.	user_agents	doc-coauthoring	/Users/bilibili/.agents/skills/doc-coauthoring/SKILL.md	959fa609a3144b2e20d159515f521558c295a2f97bb9ffd8214a6b2930219cfb	16311	True		
expression-skill	This skill should be used when the user asks for efficient communication, task reports, file-operation summaries, research discussion, study-note synthesis, planning, writing feedback, or responses that need conclusion-first structure, concrete evidence, risk disclosure, and useful next steps.	user_agents	expression-skill	/Users/bilibili/.agents/skills/expression-skill/SKILL.md	169bf37650172466449c5dfc52dde2c2f296eb856e43223fa942946e9be381fd	9789	True		
find-skills	"Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is there a skill that can..."", or express interest in extending capabilities. This skill should be used when the user is looking for functionality that might exist as an installable skill."	user_agents	find-skills	/Users/bilibili/.agents/skills/find-skills/SKILL.md	1e85f6f9686e145aca4a124e3b704b9bbea9aa87e08515c1e352eee70f6e6e7a	5446	True		
frontend-design	Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, React components, HTML/CSS layouts, or when styling/beautifying any web UI). Generates creative, polished code and UI design that avoids generic AI aesthetics.	user_agents	frontend-design.disabled	/Users/bilibili/.agents/skills/frontend-design.disabled/SKILL.md	db4932e003b98df308e25dd52003bb5acf51910f9efe484eab9329fcc83a45a3	4454	False	False	
